SA2_CODE_2021,went_to_work_total,car_share,pt_share,SA2_NAME21,stops_count,area_km2,stops_per_km2,region,IRSAD_Score,IRSAD_Decile
209031212,1573,0.912269548633185,0.0133502860775588,Panton Hill - St Andrews,2,292.198,0.0,VIC,1076,9
209031213,2981,0.9345857094934584,0.0379067427037906,Plenty - Yarrambat,56,29.117,2.0,VIC,1090,9
209031214,1909,0.925091671031954,0.037192247249869,Research - North Warrandyte,58,49.795,1.0,VIC,1116,10
209031215,4780,0.9240585774058576,0.0430962343096234,Wattle Glen - Diamond Creek,63,26.825,2.0,VIC,1069,8
209041216,2352,0.8983843537414966,0.0637755102040816,Bundoora - North,38,4.714,8.0,VIC,1033,7
209041217,1977,0.8897319170460294,0.067779463834092,Bundoora - West,17,2.561,7.0,VIC,982,5
209041220,5982,0.9093948512203276,0.0554998328318288,Mill Park - North,107,8.136,13.0,VIC,993,5
209041221,3763,0.9237310656391178,0.0523518469306404,Mill Park - South,46,4.93,9.0,VIC,974,5
209041223,5839,0.8587086829936633,0.1060113033053605,Thomastown,131,14.684,9.0,VIC,900,2
209041224,8087,0.9340917521948808,0.0311611227896624,Wallan,52,507.746,0.0,VIC,986,5
209041225,3477,0.917169974115617,0.0371009490940465,Whittlesea,65,297.98,0.0,VIC,999,6
209041431,4223,0.9069381955955482,0.0641723892967085,Epping - East,42,7.769,5.0,VIC,945,3
209041432,2633,0.8439042916824915,0.1310292442081276,Epping - South,87,15.871,5.0,VIC,920,2
209041433,4063,0.9091804085650996,0.0730986955451636,Epping (Vic.) - West,38,7.357,5.0,VIC,988,5
209041435,4417,0.9189495132442834,0.0661082182476794,South Morang - North,61,13.709,4.0,VIC,1032,7
209041436,4293,0.91148381085488,0.069648264616818,South Morang - South,61,7.745,8.0,VIC,997,6
209041437,8216,0.9121226874391432,0.0712025316455696,Wollert,38,53.892,1.0,VIC,1002,6
209041527,5227,0.9273005548115554,0.0470633250430457,Doreen - North,55,9.439,6.0,VIC,1027,7
209041528,3527,0.9217465267933088,0.0598242132123617,Doreen - South,33,5.022,7.0,VIC,1022,7
209041529,2878,0.8474635163307853,0.1275191104933982,Lalor - East,42,3.323,13.0,VIC,896,2
209041530,3869,0.8759369346084259,0.0899457224088911,Lalor - West,47,8.737,5.0,VIC,935,3
209041531,3704,0.9028077753779696,0.076133909287257,Mernda - North,38,15.196,3.0,VIC,1003,6
209041532,4069,0.9117719341361514,0.0744654706316048,Mernda - South,56,8.627,6.0,VIC,1016,6
210011226,2536,0.8947160883280757,0.0524447949526813,Airport West,55,3.72,15.0,VIC,1018,6
210011227,10,0.9,0.0,Essendon Airport,7,3.355,2.0,VIC,,
210011228,2494,0.9394546912590216,0.0408981555733761,Keilor,66,17.512,4.0,VIC,1035,7
210011230,2284,0.8866024518388792,0.0704903677758318,Niddrie - Essendon West,41,2.803,15.0,VIC,1073,8
210011231,2850,0.8947368421052632,0.0522807017543859,Strathmore,52,4.145,13.0,VIC,1100,9
210011533,3300,0.8975757575757576,0.0621212121212121,Avondale Heights,42,5.408,8.0,VIC,1012,6
210011534,4100,0.9143902439024392,0.0548780487804878,Keilor East,66,5.483,12.0,VIC,1031,7
210021232,4373,0.9318545620855248,0.0226389206494397,Gisborne,77,211.057,0.0,VIC,1068,8
210021233,885,0.9107344632768362,0.0248587570621468,Macedon,3,72.99,0.0,VIC,1108,9
210021234,1471,0.919102651257648,0.0401087695445275,Riddells Creek,6,83.35,0.0,VIC,1048,8
210021235,3506,0.9329720479178552,0.0159726183685111,Romsey,21,624.709,0.0,VIC,1016,6
210031236,2163,0.7688395746648173,0.1308368007397133,Coburg North,64,4.878,13.0,VIC,1041,7
210031237,3690,0.8189701897018971,0.1241192411924119,Fawkner,81,5.085,16.0,VIC,952,4
210031439,945,0.9322751322751324,0.0296296296296296,Gowanbrae,17,1.523,11.0,VIC,1061,8
210031440,1674,0.8829151732377539,0.0806451612903225,Hadfield,34,3.05,11.0,VIC,976,5
210031535,4157,0.8025018041857108,0.1484243444791917,Glenroy - East,67,6.248,11.0,VIC,961,4
210031536,2868,0.7203626220362622,0.2433751743375174,Glenroy - West,25,2.611,10.0,VIC,1004,6
210031537,2288,0.7950174825174825,0.1717657342657342,Oak Park,26,2.354,11.0,VIC,1071,8
210031538,5099,0.8440870758972348,0.1192390664836242,Pascoe Vale,70,4.63,15.0,VIC,1048,8
210041240,4593,0.9305464837796648,0.0396255170912257,Sunbury,65,129.549,1.0,VIC,1013,6
210041539,1877,0.9099627064464572,0.0777836973894512,Diggers Rest,32,51.892,1.0,VIC,1004,6
210041540,4790,0.9096033402922756,0.0580375782881002,Sunbury - South,110,41.45,3.0,VIC,990,5
210041541,3878,0.927797833935018,0.0479628674574523,Sunbury - West,71,37.794,2.0,VIC,997,6
210051242,3431,0.7965607694549693,0.1559312153890993,Broadmeadows,93,8.827,11.0,VIC,840,1
210051243,3522,0.860022714366837,0.0931289040318001,Campbellfield - Coolaroo,109,18.187,6.0,VIC,836,1
210051245,5488,0.924927113702624,0.0389941690962099,Gladstone Park - Westmeadows,75,13.937,5.0,VIC,965,4
210051246,7183,0.9287205902826116,0.0357789224557984,Greenvale - Bulla,71,95.906,1.0,VIC,1032,7
210051247,3448,0.906322505800464,0.0562645011600928,Meadow Heights,61,4.625,13.0,VIC,845,1
210051248,23,0.782608695652174,0.0,Melbourne Airport,18,30.385,1.0,VIC,1053,8
210051250,2094,0.9083094555873924,0.0434574976122254,Tullamarine,30,3.86,8.0,VIC,952,4
210051441,2675,0.8953271028037383,0.0755140186915887,Craigieburn - Central,23,3.968,6.0,VIC,909,2
210051442,4030,0.9114143920595532,0.0669975186104218,Craigieburn - North,30,13.352,2.0,VIC,972,4
210051443,6803,0.8979861825665147,0.07290901073056,Craigieburn - South,103,11.914,9.0,VIC,955,4
210051445,7975,0.9220062695924764,0.0540438871473354,Mickleham - Yuroke,54,70.836,1.0,VIC,997,6
210051542,3133,0.8965847430577721,0.0823491860836259,Craigieburn - North West,19,1.92,10.0,VIC,977,5
210051543,3825,0.8857516339869281,0.0771241830065359,Craigieburn - West,46,4.089,11.0,VIC,954,4
210051544,2781,0.8996763754045307,0.0686803308162531,Roxburgh Park (South) - Somerton,54,8.876,6.0,VIC,920,2
210051545,3651,0.9186524239934264,0.0586140783347028,Roxburgh Park - North,22,3.414,6.0,VIC,899,2
211011251,4131,0.896877269426289,0.0685064149116436,Bayswater,69,8.044,9.0,VIC,987,5
211011254,5356,0.9305451829723674,0.0485436893203883,Knoxfield - Scoresby,115,15.265,8.0,VIC,1042,7
211011255,2398,0.9445371142618848,0.0179316096747289,Lysterfield,25,18.494,1.0,VIC,1088,9
211011256,5351,0.9461782844328164,0.0368155484956083,Rowville - Central,75,8.2,9.0,VIC,1041,7
211011257,2601,0.9473279507881583,0.0342176086120722,Rowville - North,27,4.169,6.0,VIC,1073,8
211011258,3607,0.9506515109509288,0.0335458830052675,Rowville - South,36,9.353,4.0,VIC,1065,8
211011259,4130,0.9145278450363196,0.0554479418886198,Wantirna,47,8.306,6.0,VIC,1044,7
211011260,5281,0.9212270403332702,0.0524521870857792,Wantirna South,128,13.356,10.0,VIC,1048,8
211011446,7488,0.9045138888888888,0.0587606837606837,Boronia,117,11.263,10.0,VIC,992,5
211011447,4483,0.9058666071826902,0.0577738121793441,Ferntree Gully - North,65,6.985,9.0,VIC,994,5
211011448,5261,0.9273902299942977,0.0473294050560729,Ferntree Gully (South) - Upper Ferntree Gully,83,9.15,9.0,VIC,1016,6
211011449,1478,0.922192151556157,0.0263870094722598,The Basin,15,5.716,3.0,VIC,1025,7
211021261,4188,0.9245463228271252,0.045367717287488,Donvale - Park Orchards,86,20.803,4.0,VIC,1098,9
211021262,3003,0.9287379287379288,0.0276390276390276,Warrandyte - Wonga Park,80,45.759,2.0,VIC,1106,9
211031263,4126,0.9192922927775083,0.0416868637905962,Bayswater North,84,9.909,8.0,VIC,1001,6
211031265,5612,0.93496079828938,0.0334996436208125,Croydon Hills - Warranwood,71,9.492,7.0,VIC,1075,9
